# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)   0.085 us    |          } /* _raw_spin_lock_irqsave */
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.084 us    |                _raw_spin_lock_irqsave();
   0)   0.083 us    |                _raw_spin_lock();
   0)   0.426 us    |              }
   0)               |              update_rq_clock() {
   0)   0.094 us    |                update_rq_clock_task();
   0)   0.548 us    |              }
   0)   0.094 us    |              _raw_spin_unlock_irqrestore();
   0)   1.420 us    |            }
   0)   1.590 us    |          }
   0)   0.201 us    |          kfree();
   0) + 86.108 us   |        }
   0) + 86.302 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.086 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.106 us    |              available_idle_cpu();
   0)   0.275 us    |            }
   0)   0.085 us    |            rcu_read_unlock_strict();
   0)   0.696 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.580 us    |                      __x2apic_send_IPI_dest();
   0)   9.019 us    |                    }
   0)   9.210 us    |                  }
   0)   9.396 us    |                }
   0)   9.592 us    |              }
   0)   9.815 us    |            }
   0)   9.997 us    |          }
   0)   0.137 us    |          _raw_spin_unlock_irqrestore();
   0)   0.094 us    |          ttwu_stat();
   0) + 11.627 us   |        }
   0) + 11.788 us   |      }
   0)               |      __cond_resched() {
   0)   0.098 us    |        rcu_all_qs();
   0)   0.285 us    |      }
   0)               |      down() {
   0)   0.092 us    |        _raw_spin_lock_irqsave();
   0)   0.090 us    |        _raw_spin_unlock_irqrestore();
   0)   0.431 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.086 us    |            should_failslab();
   0)   0.338 us    |          }
   0)   0.129 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.135 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.130 us    |                  available_idle_cpu();
   0)   0.298 us    |                }
   0)   0.086 us    |                rcu_read_unlock_strict();
   0)   0.678 us    |              }
   0)               |              ttwu_queue() {
   0)   0.139 us    |                ttwu_queue_wakelist.part.0();
   0)   0.104 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.108 us    |                  update_rq_clock_task();
   0)   0.296 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.085 us    |                        update_curr();
   0)   0.094 us    |                        __update_load_avg_se();
   0)   0.095 us    |                        __update_load_avg_cfs_rq();
   0)   0.083 us    |                        update_cfs_group();
   0)   0.106 us    |                        check_spread.isra.0();
   0)   1.061 us    |                      }
   0)   0.086 us    |                      hrtick_update();
   0)   1.420 us    |                    }
   0)   1.632 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.382 us    |                            __x2apic_send_IPI_dest();
   0)   7.804 us    |                          }
   0)   7.990 us    |                        }
   0)   8.193 us    |                      }
   0)   8.381 us    |                    }
   0)   8.668 us    |                  }
   0) + 10.535 us   |                }
   0) + 11.627 us   |              }
   0)   0.112 us    |              _raw_spin_unlock_irqrestore();
   0)   0.089 us    |              ttwu_stat();
   0) + 13.218 us   |            }
   0) + 13.405 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.088 us    |              _raw_spin_lock_irq();
   0)   0.103 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.088 us    |                    rcu_qs();
   0)   0.257 us    |                  }
   0)   0.097 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.109 us    |                      update_irq_load_avg();
   0)   0.325 us    |                    }
   0)   0.498 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.087 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.164 us    |                            rcu_read_unlock_strict();
   0)   0.320 us    |                          }
   0)   0.105 us    |                          rcu_read_unlock_strict();
   0)   0.916 us    |                        }
   0)   0.091 us    |                        __update_load_avg_se();
   0)   0.086 us    |                        __update_load_avg_cfs_rq();
