# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   3)   0.146 us    |        should_failslab();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.249 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.250 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.253 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.246 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.253 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.296 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.228 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.247 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.232 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.247 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.232 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.243 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.369 us    |      }
   3)               |      kmem_cache_free() {
   3)               |        __slab_free() {
   3)   0.082 us    |          put_cpu_partial();
   3)   0.321 us    |        }
   3)   0.491 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.272 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.482 us    |      }
   3)               |      kmem_cache_free() {
   3)               |        __slab_free() {
   3)   0.082 us    |          put_cpu_partial();
   3)   0.362 us    |        }
   3)   0.569 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.260 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.291 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.231 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.717 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.103 us    |        __slab_free();
   3)   0.352 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.350 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.317 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.315 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.308 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.105 us    |        __slab_free();
   3)   0.252 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.096 us    |        __slab_free();
   3)   0.245 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.326 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.099 us    |        __slab_free();
   3)   0.247 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.267 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.093 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.148 us    |        __slab_free();
   3)   0.366 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.094 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.242 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.093 us    |        __slab_free();
   3)   0.243 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.249 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.095 us    |        __slab_free();
   3)   0.244 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.298 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.253 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.449 us    |      }
   3)               |      kmem_cache_free() {
   3)               |        __slab_free() {
   3)   0.081 us    |          put_cpu_partial();
   3)   0.386 us    |        }
   3)   0.563 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.369 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.300 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.103 us    |        __slab_free();
   3)   0.256 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.300 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.307 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.315 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.244 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.243 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.350 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.304 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.266 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.245 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.326 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.243 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.272 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.093 us    |        __slab_free();
   3)   0.245 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.311 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.310 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.253 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.410 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.244 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.299 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.101 us    |        __slab_free();
   3)   0.253 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.268 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.254 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.252 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.242 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.252 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.249 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.249 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.231 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.228 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.242 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.249 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.242 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.092 us    |        __slab_free();
   3)   0.302 us    |      }
   3)               |      kmem_cache_free() {
   3)               |        __slab_free() {
   3)   0.097 us    |          put_cpu_partial();
   3)   0.261 us    |        }
   3)   0.562 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.264 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.271 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.090 us    |        __slab_free();
   3)   0.313 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.319 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.265 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.309 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.431 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.103 us    |        __slab_free();
   3)   0.253 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.243 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.264 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.338 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.091 us    |        __slab_free();
   3)   0.245 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.315 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.100 us    |        __slab_free();
   3)   0.279 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.101 us    |        __slab_free();
   3)   0.251 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.084 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.307 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.309 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.229 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.229 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.232 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.264 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.243 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.100 us    |        __slab_free();
   3)   0.246 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.232 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.248 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.235 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.236 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.098 us    |        __slab_free();
   3)   0.249 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.234 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.470 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.240 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.453 us    |      }
   3)               |      kmem_cache_free() {
   3)               |        __slab_free() {
   3)   0.082 us    |          put_cpu_partial();
   3)   0.396 us    |        }
   3)   0.616 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.694 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.325 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.301 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.311 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.312 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.261 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.309 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.307 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.310 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.314 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.085 us    |        __slab_free();
   3)   0.233 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.238 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.306 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.310 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.305 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.089 us    |        __slab_free();
   3)   0.239 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.241 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.087 us    |        __slab_free();
   3)   0.237 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.086 us    |        __slab_free();
   3)   0.298 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.292 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.083 us    |        __slab_free();
   3)   0.300 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.244 us    |      }
   3)               |      kmem_cache_free() {
   3)   0.088 us    |        __slab_free();
   3)   0.236 us    |      }
