# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)               |          kmem_cache_alloc() {
   1)   0.082 us    |            should_failslab();
   1)   0.248 us    |          }
   1)   0.427 us    |        }
   1) + 13.685 us   |      }
   1)               |      __cond_resched() {
   1)   0.087 us    |        rcu_all_qs();
   1)   0.244 us    |      }
   1)               |      scan_peb.constprop.0 [ubi]() {
   1)               |        ubi_io_is_bad [ubi]() {
   1)               |          mtd_block_isbad [mtd]() {
   1)               |            nand_block_isbad [nand]() {
   1)   0.079 us    |              mutex_lock();
   1)   0.081 us    |              mutex_lock();
   1)   0.079 us    |              nand_select_target [nand]();
   1)   0.079 us    |              nand_isbad_bbt [nand]();
   1)   0.080 us    |              mutex_unlock();
   1)   0.083 us    |              mutex_unlock();
   1)   1.019 us    |            }
   1)   1.170 us    |          }
   1)   1.327 us    |        }
   1)               |        ubi_io_read_ec_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.084 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.080 us    |                    mutex_lock();
   1)   0.079 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.082 us    |                      nand_select_target [nand]();
   1)               |                      nand_read_page_swecc [nand]() {
   1)               |                        nand_read_page_raw [nand]() {
   1)               |                          nand_read_page_op [nand]() {
   1)               |                            nand_sp_exec_read_page_op [nand]() {
   1)   0.173 us    |                              nand_fill_column_cycles [nand]();
   1)               |                              ns_exec_op [nandsim]() {
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)   0.080 us    |                                    ns_get_state_by_command [nandsim]();
   1)   0.094 us    |                                    ns_find_operation [nandsim]();
   1)   0.405 us    |                                  }
   1)   0.557 us    |                                }
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)   0.106 us    |                                  ns_find_operation [nandsim]();
   1)   0.083 us    |                                  ns_do_state_action [nandsim]();
   1)   0.423 us    |                                }
   1)   0.082 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)   0.083 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)               |                                    ns_do_state_action [nandsim]() {
   1)               |                                      ns_read_page [nandsim]() {
   1)   0.157 us    |                                        ns_do_read_error [nandsim]();
   1)   0.460 us    |                                      }
   1)   0.622 us    |                                    }
   1)   0.780 us    |                                  }
   1)   0.938 us    |                                }
   1)   0.096 us    |                                ns_nand_read_buf.isra.0 [nandsim]();
   1)   2.699 us    |                              }
   1)   3.130 us    |                            }
   1)   3.275 us    |                          }
   1)               |                          nand_read_data_op [nand]() {
   1)               |                            ns_exec_op [nandsim]() {
   1)               |                              ns_nand_read_buf.isra.0 [nandsim]() {
   1)   0.086 us    |                                ns_switch_state [nandsim]();
   1)   0.236 us    |                              }
   1)   0.393 us    |                            }
   1)   0.566 us    |                          }
   1)   4.068 us    |                        }
   1)               |                        nand_calculate_ecc [nand_ecc]() {
   1)   0.112 us    |                          __nand_calculate_ecc [nand_ecc]();
   1)   0.264 us    |                        }
   1)               |                        nand_calculate_ecc [nand_ecc]() {
   1)   0.109 us    |                          __nand_calculate_ecc [nand_ecc]();
   1)   0.265 us    |                        }
   1)               |                        mtd_ooblayout_get_eccbytes [mtd]() {
   1)               |                          mtd_ooblayout_get_bytes [mtd]() {
   1)               |                            mtd_ooblayout_find_region [mtd]() {
   1)               |                              mtd_ooblayout_ecc [mtd]() {
   1)   0.089 us    |                                nand_ooblayout_ecc_sp [nandcore]();
   1)   0.239 us    |                              }
   1)   0.395 us    |                            }
   1)               |                            mtd_ooblayout_ecc [mtd]() {
   1)   0.083 us    |                              nand_ooblayout_ecc_sp [nandcore]();
   1)   0.248 us    |                            }
   1)   0.887 us    |                          }
   1)   1.040 us    |                        }
   1)               |                        nand_correct_data [nand_ecc]() {
   1)   0.081 us    |                          __nand_correct_data [nand_ecc]();
   1)   0.246 us    |                        }
   1)               |                        nand_correct_data [nand_ecc]() {
   1)   0.080 us    |                          __nand_correct_data [nand_ecc]();
   1)   0.243 us    |                        }
   1)   6.704 us    |                      }
   1)               |                      nand_wait_readrdy [nand]() {
   1)   0.083 us    |                        ns_exec_op [nandsim]();
   1)   0.246 us    |                      }
   1)   7.363 us    |                    }
   1)   0.082 us    |                    mutex_unlock();
   1)   0.082 us    |                    mutex_unlock();
   1)   8.147 us    |                  }
   1)   8.329 us    |                }
   1)   8.650 us    |              }
   1)   8.810 us    |            }
   1)   8.967 us    |          }
   1)   0.090 us    |          validate_ec_hdr [ubi]();
   1)   9.321 us    |        }
   1)               |        ubi_io_read_vid_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.081 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.082 us    |                    mutex_lock();
   1)   0.080 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.081 us    |                      nand_select_target [nand]();
   1)   0.257 us    |                    }
   1)   0.082 us    |                    mutex_unlock();
   1)   0.082 us    |                    mutex_unlock();
   1)   1.137 us    |                  }
   1)   1.301 us    |                }
   1)   1.621 us    |              }
   1)   1.787 us    |            }
   1)   1.947 us    |          }
   1)   0.108 us    |          ubi_check_pattern [ubi]();
   1)   2.290 us    |        }
   1)               |        add_to_list [ubi]() {
   1)               |          kmem_cache_alloc() {
   1)   0.081 us    |            should_failslab();
   1)   0.252 us    |          }
   1)   0.409 us    |        }
   1) + 13.749 us   |      }
   1)               |      __cond_resched() {
   1)   0.083 us    |        rcu_all_qs();
   1)   0.236 us    |      }
   1)               |      scan_peb.constprop.0 [ubi]() {
   1)               |        ubi_io_is_bad [ubi]() {
   1)               |          mtd_block_isbad [mtd]() {
   1)               |            nand_block_isbad [nand]() {
   1)   0.082 us    |              mutex_lock();
   1)   0.080 us    |              mutex_lock();
   1)   0.084 us    |              nand_select_target [nand]();
   1)   0.085 us    |              nand_isbad_bbt [nand]();
   1)   0.082 us    |              mutex_unlock();
   1)   0.081 us    |              mutex_unlock();
   1)   1.036 us    |            }
   1)   1.191 us    |          }
   1)   1.355 us    |        }
   1)               |        ubi_io_read_ec_hdr [ubi]() {
   1)               |          ubi_io_read [ubi]() {
   1)               |            mtd_read [mtd]() {
   1)               |              mtd_read_oob [mtd]() {
   1)   0.083 us    |                mtd_check_oob_ops [mtd]();
   1)               |                mtd_read_oob_std [mtd]() {
   1)               |                  nand_read_oob [nand]() {
   1)   0.081 us    |                    mutex_lock();
   1)   0.082 us    |                    mutex_lock();
   1)               |                    nand_do_read_ops [nand]() {
   1)   0.082 us    |                      nand_select_target [nand]();
   1)               |                      nand_read_page_swecc [nand]() {
   1)               |                        nand_read_page_raw [nand]() {
   1)               |                          nand_read_page_op [nand]() {
   1)               |                            nand_sp_exec_read_page_op [nand]() {
   1)   0.083 us    |                              nand_fill_column_cycles [nand]();
   1)               |                              ns_exec_op [nandsim]() {
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)   0.085 us    |                                    ns_get_state_by_command [nandsim]();
   1)   0.098 us    |                                    ns_find_operation [nandsim]();
   1)   0.419 us    |                                  }
   1)   0.579 us    |                                }
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)   0.106 us    |                                  ns_find_operation [nandsim]();
   1)   0.083 us    |                                  ns_do_state_action [nandsim]();
   1)   0.433 us    |                                }
   1)   0.083 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)   0.082 us    |                                ns_nand_write_byte.isra.0 [nandsim]();
   1)               |                                ns_nand_write_byte.isra.0 [nandsim]() {
   1)               |                                  ns_switch_state [nandsim]() {
   1)               |                                    ns_do_state_action [nandsim]() {
   1)               |                                      ns_read_page [nandsim]() {
   1)   0.143 us    |                                        ns_do_read_error [nandsim]();
   1)   0.334 us    |                                      }
   1)   0.491 us    |                                    }
   1)   0.652 us    |                                  }
   1)   0.825 us    |                                }
   1)   0.097 us    |                                ns_nand_read_buf.isra.0 [nandsim]();
   1)   2.673 us    |                              }
   1)   3.013 us    |                            }
   1)   3.162 us    |                          }
   1)               |                          nand_read_data_op [nand]() {
   1)               |                            ns_exec_op [nandsim]() {
   1)               |                              ns_nand_read_buf.isra.0 [nandsim]() {
   1)   0.087 us    |                                ns_switch_state [nandsim]();
   1)   0.245 us    |                              }
   1)   0.398 us    |                            }
   1)   0.558 us    |                          }
   1)   3.949 us    |                        }
   1)               |                        nand_calculate_ecc [nand_ecc]() {
   1)   0.109 us    |                          __nand_calculate_ecc [nand_ecc]();
   1)   0.260 us    |                        }
   1)               |                        nand_calculate_ecc [nand_ecc]() {
   1)   0.110 us    |                          __nand_calculate_ecc [nand_ecc]();
   1)   0.281 us    |                        }
   1)               |                        mtd_ooblayout_get_eccbytes [mtd]() {
   1)               |                          mtd_ooblayout_get_bytes [mtd]() {
   1)               |                            mtd_ooblayout_find_region [mtd]() {
   1)               |                              mtd_ooblayout_ecc [mtd]() {
   1)   0.187 us    |                                nand_ooblayout_ecc_sp [nandcore]();
   1)   0.337 us    |                              }
   1)   0.498 us    |                            }
   1)               |                            mtd_ooblayout_ecc [mtd]() {
   1)   0.081 us    |                              nand_ooblayout_ecc_sp [nandcore]();
   1)   0.230 us    |                            }
   1)   0.974 us    |                          }
   1)   1.125 us    |                        }
