# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
   1)               |                        update_curr() {
   1)   0.086 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.181 us    |                            rcu_read_unlock_strict();
   1)   0.481 us    |                          }
   1)   0.102 us    |                          rcu_read_unlock_strict();
   1)   1.075 us    |                        }
   1)   0.090 us    |                        __update_load_avg_se();
   1)   0.088 us    |                        __update_load_avg_cfs_rq();
   1)   0.085 us    |                        clear_buddies();
   1)   0.096 us    |                        update_cfs_group();
   1)   0.096 us    |                        update_min_vruntime();
   1)   2.154 us    |                      }
   1)   0.084 us    |                      hrtick_update();
   1)   2.508 us    |                    }
   1)   2.700 us    |                  }
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.089 us    |                      __msecs_to_jiffies();
   1)   0.083 us    |                      rcu_read_unlock_strict();
   1)   0.093 us    |                      nohz_newidle_balance();
   1)   0.620 us    |                    }
   1)   0.085 us    |                    try_steal();
   1)   0.093 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.163 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.085 us    |                      check_cfs_rq_runtime();
   1)   0.089 us    |                      check_spread.isra.0();
   1)   0.439 us    |                    }
   1)   0.605 us    |                  }
   1)   0.084 us    |                  pick_next_task_idle();
   1)   0.178 us    |                  __traceiter_sched_switch();
   1)   0.087 us    |                  enter_lazy_tlb();
   1)   0.447 us    |                  finish_task_switch();
   1) ! 100.516 us  |                }
   1) ! 100.731 us  |              }
   1)   0.091 us    |              _raw_spin_lock_irq();
   1)   0.089 us    |              __finish_swait();
   1) ! 101.710 us  |            }
   1) ! 101.897 us  |          }
   1)               |          __set_task_comm() {
   1)   0.145 us    |            _raw_spin_lock();
   1)   0.454 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.140 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.087 us    |                _raw_spin_lock_irqsave();
   1)   0.110 us    |                _raw_spin_lock();
   1)   0.489 us    |              }
   1)               |              update_rq_clock() {
   1)   0.161 us    |                update_rq_clock_task();
   1)   0.337 us    |              }
   1)   0.091 us    |              _raw_spin_unlock_irqrestore();
   1)   0.100 us    |              cpuset_read_unlock();
   1)   1.775 us    |            }
   1)   1.968 us    |          }
   1)   0.086 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
   1)   0.083 us    |                _raw_spin_lock_irqsave();
   1)   0.086 us    |                _raw_spin_lock();
   1)   0.419 us    |              }
   1)               |              update_rq_clock() {
   1)   0.097 us    |                update_rq_clock_task();
   1)   0.260 us    |              }
   1)   0.092 us    |              _raw_spin_unlock_irqrestore();
   1)   1.151 us    |            }
   1)   1.309 us    |          }
   1)   0.188 us    |          kfree();
   1) ! 122.462 us  |        }
   1) ! 122.658 us  |      }
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.087 us    |          _raw_spin_lock_irqsave();
   1)               |          select_task_rq_fair() {
