# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.098 us    |            should_failslab();
   0)   0.330 us    |          }
   0)   0.127 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.108 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.097 us    |                  available_idle_cpu();
   0)   0.109 us    |                  cpus_share_cache();
   0)   0.123 us    |                  available_idle_cpu();
   0)   0.730 us    |                }
   0)   0.088 us    |                rcu_read_unlock_strict();
   0)   1.071 us    |              }
   0)               |              set_task_cpu() {
   0)               |                migrate_task_rq_fair() {
   0)               |                  remove_entity_load_avg() {
   0)   0.095 us    |                    __update_load_avg_blocked_se();
   0)   0.122 us    |                    _raw_spin_lock_irqsave();
   0)   0.088 us    |                    _raw_spin_unlock_irqrestore();
   0)   0.657 us    |                  }
   0)   0.837 us    |                }
   0)   0.124 us    |                set_task_rq_fair();
   0)   1.276 us    |              }
   0)               |              ttwu_queue() {
   0)   0.086 us    |                ttwu_queue_wakelist.part.0();
   0)   0.101 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.135 us    |                  update_rq_clock_task();
   0)   0.293 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.084 us    |                        update_curr();
   0)   0.085 us    |                        _raw_spin_lock();
   0)   0.094 us    |                        __update_load_avg_cfs_rq();
   0)   0.104 us    |                        attach_entity_load_avg();
   0)   0.085 us    |                        update_cfs_group();
   0)   0.098 us    |                        check_spread.isra.0();
   0)   1.457 us    |                      }
   0)   0.096 us    |                      hrtick_update();
   0)   1.821 us    |                    }
   0)   2.016 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.321 us    |                            __x2apic_send_IPI_dest();
   0)   7.773 us    |                          }
   0)   7.965 us    |                        }
   0)   8.168 us    |                      }
   0)   8.374 us    |                    }
   0)   8.690 us    |                  }
   0) + 10.948 us   |                }
   0) + 11.841 us   |              }
   0)   0.158 us    |              _raw_spin_unlock_irqrestore();
   0)   0.097 us    |              ttwu_stat();
   0) + 15.314 us   |            }
   0) + 15.495 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.095 us    |              _raw_spin_lock_irq();
   0)   0.134 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.090 us    |                    rcu_qs();
   0)   0.259 us    |                  }
   0)   0.093 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.094 us    |                      update_irq_load_avg();
   0)   0.315 us    |                    }
   0)   0.498 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.084 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.188 us    |                            rcu_read_unlock_strict();
   0)   0.366 us    |                          }
   0)   0.104 us    |                          rcu_read_unlock_strict();
   0)   1.004 us    |                        }
   0)   0.090 us    |                        __update_load_avg_se();
   0)   0.087 us    |                        _raw_spin_lock();
   0)   0.087 us    |                        __update_load_avg_cfs_rq();
   0)   0.083 us    |                        clear_buddies();
   0)   0.089 us    |                        update_cfs_group();
   0)   0.087 us    |                        update_min_vruntime();
   0)   2.304 us    |                      }
   0)   0.088 us    |                      hrtick_update();
   0)   2.693 us    |                    }
   0)   2.891 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.088 us    |                      __msecs_to_jiffies();
   0)   0.084 us    |                      rcu_read_unlock_strict();
   0)   0.087 us    |                      nohz_newidle_balance();
   0)   0.640 us    |                    }
   0)   0.087 us    |                    try_steal();
   0)   0.092 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.211 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.085 us    |                      check_cfs_rq_runtime();
   0)   0.092 us    |                      check_spread.isra.0();
   0)   0.424 us    |                    }
   0)   0.596 us    |                  }
   0)   0.087 us    |                  pick_next_task_idle();
   0)   0.182 us    |                  __traceiter_sched_switch();
   0)   0.083 us    |                  enter_lazy_tlb();
   0)   0.362 us    |                  finish_task_switch();
   0) + 67.540 us   |                }
   0) + 67.785 us   |              }
   0)   0.122 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 69.139 us   |            }
   0) + 69.334 us   |          }
   0)               |          __set_task_comm() {
   0)   0.180 us    |            _raw_spin_lock();
   0)   0.460 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.135 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.087 us    |                _raw_spin_lock_irqsave();
   0)   0.124 us    |                _raw_spin_lock();
   0)   0.522 us    |              }
   0)               |              update_rq_clock() {
   0)   0.143 us    |                update_rq_clock_task();
   0)   0.330 us    |              }
   0)   0.105 us    |              _raw_spin_unlock_irqrestore();
   0)   0.087 us    |              cpuset_read_unlock();
   0)   1.807 us    |            }
   0)   2.003 us    |          }
   0)   0.082 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.085 us    |                _raw_spin_lock_irqsave();
   0)   0.085 us    |                _raw_spin_lock();
   0)   0.415 us    |              }
   0)               |              update_rq_clock() {
   0)   0.086 us    |                update_rq_clock_task();
   0)   0.264 us    |              }
   0)   0.093 us    |              _raw_spin_unlock_irqrestore();
   0)   1.152 us    |            }
   0)   1.307 us    |          }
   0)   0.195 us    |          kfree();
   0) + 90.686 us   |        }
   0) + 90.892 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.086 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.106 us    |              available_idle_cpu();
   0)   0.289 us    |            }
   0)   0.083 us    |            rcu_read_unlock_strict();
   0)   0.710 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.110 us    |                      __x2apic_send_IPI_dest();
   0)   8.562 us    |                    }
   0)   8.747 us    |                  }
   0)   8.940 us    |                }
   0)   9.143 us    |              }
   0)   9.371 us    |            }
   0)   9.550 us    |          }
   0)   0.152 us    |          _raw_spin_unlock_irqrestore();
   0)   0.094 us    |          ttwu_stat();
   0) + 11.152 us   |        }
   0) + 11.306 us   |      }
   0)               |      __cond_resched() {
   0)   0.102 us    |        rcu_all_qs();
   0)   0.277 us    |      }
   0)               |      down() {
   0)   0.104 us    |        _raw_spin_lock_irqsave();
   0)   0.091 us    |        _raw_spin_unlock_irqrestore();
   0)   0.437 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.098 us    |            should_failslab();
   0)   0.350 us    |          }
   0)   0.132 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.125 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.131 us    |                  available_idle_cpu();
   0)   0.319 us    |                }
   0)   0.084 us    |                rcu_read_unlock_strict();
   0)   0.657 us    |              }
   0)               |              ttwu_queue() {
   0)   0.125 us    |                ttwu_queue_wakelist.part.0();
   0)   0.102 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.122 us    |                  update_rq_clock_task();
   0)   0.303 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.103 us    |                        update_curr();
   0)   0.105 us    |                        __update_load_avg_se();
   0)   0.088 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        update_cfs_group();
   0)   0.097 us    |                        check_spread.isra.0();
   0)   1.060 us    |                      }
   0)   0.102 us    |                      hrtick_update();
   0)   1.428 us    |                    }
   0)   1.642 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.428 us    |                            __x2apic_send_IPI_dest();
   0)   7.855 us    |                          }
   0)   8.039 us    |                        }
   0)   8.234 us    |                      }
   0)   8.434 us    |                    }
   0)   8.739 us    |                  }
   0) + 10.617 us   |                }
   0) + 11.914 us   |              }
   0)   0.113 us    |              _raw_spin_unlock_irqrestore();
   0)   0.086 us    |              ttwu_stat();
   0) + 13.439 us   |            }
   0) + 13.644 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.089 us    |              _raw_spin_lock_irq();
   0)   0.120 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.085 us    |                    rcu_qs();
   0)   0.257 us    |                  }
   0)   0.096 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.095 us    |                      update_irq_load_avg();
   0)   0.309 us    |                    }
   0)   0.502 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.093 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.176 us    |                            rcu_read_unlock_strict();
   0)   0.338 us    |                          }
   0)   0.102 us    |                          rcu_read_unlock_strict();
   0)   0.944 us    |                        }
   0)               |                        __update_load_avg_se() {
   0)   0.089 us    |                          __accumulate_pelt_segments();
   0)   0.325 us    |                        }
   0)               |                        __update_load_avg_cfs_rq() {
   0)   0.086 us    |                          __accumulate_pelt_segments();
   0)   0.316 us    |                        }
   0)   0.083 us    |                        clear_buddies();
   0)   0.095 us    |                        update_cfs_group();
   0)   0.084 us    |                        update_min_vruntime();
   0)   2.459 us    |                      }
   0)   0.087 us    |                      hrtick_update();
   0)   2.801 us    |                    }
   0)   2.996 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.086 us    |                      __msecs_to_jiffies();
   0)   0.083 us    |                      rcu_read_unlock_strict();
   0)   0.084 us    |                      nohz_newidle_balance();
   0)   0.635 us    |                    }
   0)   0.086 us    |                    try_steal();
   0)   0.085 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.148 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.245 us    |                      check_cfs_rq_runtime();
   0)   0.090 us    |                      check_spread.isra.0();
   0)   0.586 us    |                    }
   0)   0.748 us    |                  }
   0)   0.087 us    |                  pick_next_task_idle();
   0)   0.181 us    |                  __traceiter_sched_switch();
   0)   0.084 us    |                  enter_lazy_tlb();
   0)   0.438 us    |                  finish_task_switch();
   0) + 58.064 us   |                }
   0) + 58.312 us   |              }
   0)   0.114 us    |              _raw_spin_lock_irq();
   0)   0.088 us    |              __finish_swait();
   0) + 59.297 us   |            }
   0) + 59.490 us   |          }
   0)               |          __set_task_comm() {
   0)   0.136 us    |            _raw_spin_lock();
   0)   0.419 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.143 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.088 us    |                _raw_spin_lock_irqsave();
   0)   0.127 us    |                _raw_spin_lock();
   0)   0.506 us    |              }
   0)               |              update_rq_clock() {
   0)   0.135 us    |                update_rq_clock_task();
   0)   0.326 us    |              }
   0)   0.092 us    |              _raw_spin_unlock_irqrestore();
   0)   0.087 us    |              cpuset_read_unlock();
   0)   1.791 us    |            }
   0)   1.989 us    |          }
   0)   0.085 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.084 us    |                _raw_spin_lock();
   0)   0.421 us    |              }
   0)               |              update_rq_clock() {
   0)   0.085 us    |                update_rq_clock_task();
   0)   0.246 us    |              }
   0)   0.095 us    |              _raw_spin_unlock_irqrestore();
   0)   1.149 us    |            }
   0)   1.307 us    |          }
   0)   0.216 us    |          kfree();
   0) + 78.959 us   |        }
   0) + 79.139 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.086 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.105 us    |              available_idle_cpu();
   0)   0.290 us    |            }
   0)   0.085 us    |            rcu_read_unlock_strict();
   0)   0.699 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.431 us    |                      __x2apic_send_IPI_dest();
   0)   8.896 us    |                    }
   0)   9.078 us    |                  }
   0)   9.271 us    |                }
   0)   9.468 us    |              }
   0)   9.696 us    |            }
   0)   9.890 us    |          }
   0)   0.137 us    |          _raw_spin_unlock_irqrestore();
   0)   0.094 us    |          ttwu_stat();
   0) + 11.473 us   |        }
   0) + 11.630 us   |      }
   0)               |      __cond_resched() {
   0)   0.094 us    |        rcu_all_qs();
   0)   0.269 us    |      }
   0)               |      down() {
   0)   0.105 us    |        _raw_spin_lock_irqsave();
   0)   0.089 us    |        _raw_spin_unlock_irqrestore();
   0)   0.437 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.113 us    |            should_failslab();
   0)   0.371 us    |          }
   0)   0.126 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.111 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.133 us    |                  available_idle_cpu();
   0)   0.308 us    |                }
   0)   0.084 us    |                rcu_read_unlock_strict();
   0)   0.651 us    |              }
   0)               |              ttwu_queue() {
   0)   0.108 us    |                ttwu_queue_wakelist.part.0();
   0)   0.101 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.127 us    |                  update_rq_clock_task();
   0)   0.314 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.086 us    |                        update_curr();
   0)   0.086 us    |                        __update_load_avg_se();
   0)   0.086 us    |                        __update_load_avg_cfs_rq();
   0)   0.088 us    |                        update_cfs_group();
   0)   0.098 us    |                        check_spread.isra.0();
   0)   1.023 us    |                      }
   0)   0.084 us    |                      hrtick_update();
   0)   1.414 us    |                    }
   0)   1.628 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.414 us    |                            __x2apic_send_IPI_dest();
   0)   7.807 us    |                          }
   0)   7.992 us    |                        }
   0)   8.191 us    |                      }
   0)   8.382 us    |                    }
   0)   8.657 us    |                  }
   0) + 10.536 us   |                }
   0) + 11.476 us   |              }
   0)   0.109 us    |              _raw_spin_unlock_irqrestore();
   0)   0.084 us    |              ttwu_stat();
   0) + 12.984 us   |            }
   0) + 13.182 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.084 us    |              _raw_spin_lock_irq();
   0)   0.123 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.093 us    |                    rcu_qs();
   0)   0.264 us    |                  }
   0)   0.112 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.094 us    |                      update_irq_load_avg();
   0)   0.313 us    |                    }
   0)   0.484 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.089 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.160 us    |                            rcu_read_unlock_strict();
   0)   0.328 us    |                          }
   0)   0.106 us    |                          rcu_read_unlock_strict();
   0)   0.935 us    |                        }
   0)   0.097 us    |                        __update_load_avg_se();
   0)   0.107 us    |                        __update_load_avg_cfs_rq();
   0)   0.083 us    |                        clear_buddies();
   0)   0.089 us    |                        update_cfs_group();
   0)   0.084 us    |                        update_min_vruntime();
   0)   2.020 us    |                      }
   0)   0.085 us    |                      hrtick_update();
   0)   2.390 us    |                    }
   0)   2.581 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.085 us    |                      __msecs_to_jiffies();
   0)   0.085 us    |                      rcu_read_unlock_strict();
   0)   0.085 us    |                      nohz_newidle_balance();
   0)   0.635 us    |                    }
   0)   0.084 us    |                    try_steal();
   0)   0.085 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.579 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.091 us    |                      check_cfs_rq_runtime();
   0)   0.090 us    |                      check_spread.isra.0();
   0)   0.441 us    |                    }
   0)   0.602 us    |                  }
   0)   0.087 us    |                  pick_next_task_idle();
   0)   0.176 us    |                  __traceiter_sched_switch();
   0)   0.086 us    |                  enter_lazy_tlb();
   0)   0.407 us    |                  finish_task_switch();
   0) + 69.158 us   |                }
   0) + 69.413 us   |              }
   0)   0.113 us    |              _raw_spin_lock_irq();
   0)   0.094 us    |              __finish_swait();
   0) + 70.399 us   |            }
   0) + 70.579 us   |          }
   0)               |          __set_task_comm() {
   0)   0.157 us    |            _raw_spin_lock();
   0)   0.438 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.130 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.087 us    |                _raw_spin_lock_irqsave();
   0)   0.119 us    |                _raw_spin_lock();
   0)   0.496 us    |              }
   0)               |              update_rq_clock() {
   0)   0.154 us    |                update_rq_clock_task();
   0)   0.342 us    |              }
   0)   0.104 us    |              _raw_spin_unlock_irqrestore();
   0)   0.088 us    |              cpuset_read_unlock();
   0)   1.796 us    |            }
   0)   1.992 us    |          }
   0)   0.085 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.087 us    |                _raw_spin_lock();
   0)   0.442 us    |              }
   0)               |              update_rq_clock() {
   0)   0.088 us    |                update_rq_clock_task();
   0)   0.268 us    |              }
   0)   0.091 us    |              _raw_spin_unlock_irqrestore();
   0)   1.175 us    |            }
   0)   1.336 us    |          }
   0)   0.213 us    |          kfree();
   0) + 90.104 us   |        }
   0) + 90.287 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.085 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.106 us    |              available_idle_cpu();
   0)   0.290 us    |            }
   0)   0.084 us    |            rcu_read_unlock_strict();
   0)   0.686 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.597 us    |                      __x2apic_send_IPI_dest();
   0)   9.038 us    |                    }
   0)   9.233 us    |                  }
   0)   9.437 us    |                }
   0)   9.641 us    |              }
   0)   9.862 us    |            }
   0) + 10.057 us   |          }
   0)   0.148 us    |          _raw_spin_unlock_irqrestore();
   0)   0.450 us    |          ttwu_stat();
   0) + 12.002 us   |        }
   0) + 12.166 us   |      }
   0)               |      __cond_resched() {
   0)   0.092 us    |        rcu_all_qs();
   0)   0.278 us    |      }
   0)               |      down() {
   0)   0.085 us    |        _raw_spin_lock_irqsave();
   0)   0.090 us    |        _raw_spin_unlock_irqrestore();
   0)   0.439 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.096 us    |            should_failslab();
   0)   0.346 us    |          }
   0)   0.126 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.124 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.137 us    |                  available_idle_cpu();
   0)   0.324 us    |                }
   0)   0.084 us    |                rcu_read_unlock_strict();
   0)   0.667 us    |              }
   0)               |              ttwu_queue() {
   0)   0.102 us    |                ttwu_queue_wakelist.part.0();
   0)   0.089 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.121 us    |                  update_rq_clock_task();
   0)   0.323 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.085 us    |                        update_curr();
   0)   0.087 us    |                        __update_load_avg_se();
   0)   0.090 us    |                        __update_load_avg_cfs_rq();
   0)   0.087 us    |                        update_cfs_group();
   0)   0.112 us    |                        check_spread.isra.0();
   0)   1.056 us    |                      }
   0)   0.085 us    |                      hrtick_update();
   0)   1.448 us    |                    }
   0)   1.661 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.426 us    |                            __x2apic_send_IPI_dest();
   0)   7.839 us    |                          }
   0)   8.025 us    |                        }
   0)   8.229 us    |                      }
   0)   8.418 us    |                    }
   0)   8.694 us    |                  }
   0) + 10.592 us   |                }
   0) + 11.535 us   |              }
   0)   0.108 us    |              _raw_spin_unlock_irqrestore();
   0)   0.098 us    |              ttwu_stat();
   0) + 13.132 us   |            }
   0) + 13.337 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.089 us    |              _raw_spin_lock_irq();
   0)   0.121 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.085 us    |                    rcu_qs();
   0)   0.255 us    |                  }
   0)   0.098 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.089 us    |                      update_irq_load_avg();
   0)   0.324 us    |                    }
   0)   0.488 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.087 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.173 us    |                            rcu_read_unlock_strict();
   0)   0.331 us    |                          }
   0)   0.115 us    |                          rcu_read_unlock_strict();
   0)   0.950 us    |                        }
   0)   0.093 us    |                        __update_load_avg_se();
   0)   0.089 us    |                        __update_load_avg_cfs_rq();
   0)   0.084 us    |                        clear_buddies();
   0)   0.091 us    |                        update_cfs_group();
   0)   0.086 us    |                        update_min_vruntime();
   0)   2.175 us    |                      }
   0)   0.081 us    |                      hrtick_update();
   0)   2.541 us    |                    }
   0)   2.733 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.091 us    |                      __msecs_to_jiffies();
   0)   0.085 us    |                      rcu_read_unlock_strict();
   0)   0.085 us    |                      nohz_newidle_balance();
   0)   0.624 us    |                    }
   0)   0.084 us    |                    try_steal();
   0)   0.083 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.201 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.083 us    |                      check_cfs_rq_runtime();
   0)   0.097 us    |                      check_spread.isra.0();
   0)   0.436 us    |                    }
   0)   0.596 us    |                  }
   0)   0.089 us    |                  pick_next_task_idle();
   0)   0.187 us    |                  __traceiter_sched_switch();
   0)   0.086 us    |                  enter_lazy_tlb();
   0)   0.287 us    |                  finish_task_switch();
   0) + 62.582 us   |                }
   0) + 62.806 us   |              }
   0)   0.087 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 63.772 us   |            }
   0) + 63.970 us   |          }
   0)               |          __set_task_comm() {
   0)   0.154 us    |            _raw_spin_lock();
   0)   0.389 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.144 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.089 us    |                _raw_spin_lock_irqsave();
   0)   0.118 us    |                _raw_spin_lock();
   0)   0.501 us    |              }
   0)               |              update_rq_clock() {
   0)   0.140 us    |                update_rq_clock_task();
   0)   0.330 us    |              }
   0)   0.093 us    |              _raw_spin_unlock_irqrestore();
   0)   0.083 us    |              cpuset_read_unlock();
   0)   1.768 us    |            }
   0)   1.962 us    |          }
   0)   0.081 us    |          housekeeping_cpumask();
   0)               |          set_cpus_allowed_ptr() {
   0)               |            __set_cpus_allowed_ptr() {
   0)               |              task_rq_lock() {
   0)   0.086 us    |                _raw_spin_lock_irqsave();
   0)   0.083 us    |                _raw_spin_lock();
   0)   0.422 us    |              }
   0)               |              update_rq_clock() {
   0)   0.086 us    |                update_rq_clock_task();
   0)   0.255 us    |              }
   0)   0.090 us    |              _raw_spin_unlock_irqrestore();
   0)   1.120 us    |            }
   0)   1.281 us    |          }
   0)   0.213 us    |          kfree();
   0) + 82.960 us   |        }
   0) + 83.142 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.084 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.107 us    |              available_idle_cpu();
   0)   0.288 us    |            }
   0)   0.084 us    |            rcu_read_unlock_strict();
   0)   0.678 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.422 us    |                      __x2apic_send_IPI_dest();
   0)   8.904 us    |                    }
   0)   9.098 us    |                  }
   0)   9.293 us    |                }
   0)   9.502 us    |              }
   0) + 10.230 us   |            }
   0) + 10.439 us   |          }
   0)   0.178 us    |          _raw_spin_unlock_irqrestore();
   0)   0.093 us    |          ttwu_stat();
   0) + 12.097 us   |        }
   0) + 12.253 us   |      }
   0)               |      __cond_resched() {
   0)   0.121 us    |        rcu_all_qs();
   0)   0.313 us    |      }
   0)               |      down() {
   0)   0.092 us    |        _raw_spin_lock_irqsave();
