# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.093 us    |              _raw_spin_unlock_irqrestore();
   0)   1.154 us    |            }
   0)   1.309 us    |          }
   0)   0.207 us    |          kfree();
   0) + 88.249 us   |        }
   0) + 88.644 us   |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.084 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.105 us    |              available_idle_cpu();
   0)   0.284 us    |            }
   0)   0.085 us    |            rcu_read_unlock_strict();
   0)   0.679 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.025 us    |                      __x2apic_send_IPI_dest();
   0)   8.492 us    |                    }
   0)   8.690 us    |                  }
   0)   8.883 us    |                }
   0)   9.087 us    |              }
   0)   9.314 us    |            }
   0)   9.496 us    |          }
   0)   0.159 us    |          _raw_spin_unlock_irqrestore();
   0)   0.093 us    |          ttwu_stat();
   0) + 11.080 us   |        }
   0) + 11.233 us   |      }
   0)               |      __cond_resched() {
   0)   0.108 us    |        rcu_all_qs();
   0)   0.290 us    |      }
   0)               |      down() {
   0)   0.093 us    |        _raw_spin_lock_irqsave();
   0)   0.089 us    |        _raw_spin_unlock_irqrestore();
   0)   0.444 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.101 us    |            should_failslab();
   0)   0.342 us    |          }
   0)   0.120 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.126 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.128 us    |                  available_idle_cpu();
   0)   0.317 us    |                }
   0)   0.085 us    |                rcu_read_unlock_strict();
   0)   0.674 us    |              }
   0)               |              ttwu_queue() {
